"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"Does customer-base structure influence managerial risk-taking incentives?","Jie Chen; Xunhua Su; Xuan Tian; Bin Xu","2021","Journal of Financial Economics","98","True","https://centaur.reading.ac.uk/122715/1/JFE_SSRN.pdf","https://doi.org/10.1016/j.jfineco.2021.07.015","","""firm-level political risk"" ""cash holdings""","https://openalex.org/W3183831255","article"
"The impact of COVID-19 on firm risk and performance in MENA countries: Does national governance quality matter?","Hamza Almustafa; Quang Nguyen; Jia Liu; Van Cuong Dang","2023","PLoS ONE","95","True","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0281148&type=printable","https://doi.org/10.1371/journal.pone.0281148","This study investigated the impact of the COVID-19 crisis on firm risk and performance in different country-level governance qualities in the MENA region. Analyzing a sample of 739 non-financial listed firms in 12 MENA countries for the period 2011-2020, we found that the COVID-19 crisis negatively impacted the performance of firms, especially low-performance firms, in most industries, and increased firm risk in general. Moreover, we found that national governance quality plays an important role in mitigating the negative impact of the COVID-19 crisis on firm operations. Specifically, national governance quality reduces the negative impact of the COVID-19 crisis on firm performance and the positive impact of the crisis on firm risk. The results are consistent with our contention that national governance quality contributes to creating a positive environment for businesses activities and reducing economic shocks.","""trade policy uncertainty"" ""cash holdings"" DiD","https://openalex.org/W4319295164","article"
"The liabilities of foreign institutional ownership: Managing political dependence through corporate political spending","Wei Shi; Cheng Gao; Ruth V. Aguilera","2020","Strategic Management Journal","84","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.3211?download=true","https://doi.org/10.1002/smj.3211","Abstract Research Summary The benefits of foreign institutional ownership (FIO) have been amply researched, but there are also potential downsides to such ownership. High FIO can subject a firm to heightened regulatory scrutiny and compliance, increasing its political dependence. Drawing on resource dependence theory, we argue that firms can manage the political dependence that arises from FIO by engaging in corporate political spending (CPS). We derive two moderating conditions from our theoretical argument, positing that the strength of the positive relationship between FIO and CPS hinges on the intensity of a firm's government contracting and on the political sensitivity of the industry. Our study advances strategic ownership research by highlighting that U.S. firms may need to manage the potential liabilities associated with FIO through nonmarket strategy. Managerial Summary Research suggests that firms can reap many benefits from equity investments made by foreign institutional investors. However, such investments may also have potential downsides. We posit that high levels of FIO may subject a firm to increased political and regulatory scrutiny, and that firms can manage this increased exposure to government by engaging in corporate political activities that allow them to monitor and influence the political landscape. To explore this question, we analyzed a large sample of publicly traded U.S. firms and find empirical support for our arguments. Our study highlights an unintended “liability” of FIO that firm executives should be aware of and has practical implications for how firms manage their investors and allocate resources between market and nonmarket strategies.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W3034295838","article"
"COVID-19 pandemic impact on banking sector: A cross-country analysis","Mohsin Shabir; Ping Jiang; Wenhao Wang; Özcan Işık","2023","Journal of Multinational Financial Management","83","True","https://pmc.ncbi.nlm.nih.gov/articles/PMC9896081/pdf/main.pdf","https://doi.org/10.1016/j.mulfin.2023.100784","","Hassan Hollander ""cash holdings""","https://openalex.org/W4320517181","article"
"Geopolitical risk and corporate payout policy","Samer Adra; Yang Gao; Jin Huang; Jiayi Yuan","2023","International Review of Financial Analysis","80","True","https://doi.org/10.1016/j.irfa.2023.102613","https://doi.org/10.1016/j.irfa.2023.102613","In this study, we examine the effects of geopolitical risk on corporate payout policy. Exploiting a news-based index of geopolitical risk, we find that firms adopt a more conservative payout policy by reducing share repurchases in response to greater geopolitical risk, whereas the effects of geopolitical risk on cash dividends are insignificant. Further analysis suggests that cash flow uncertainty and financial distress risk are two potential channels through which geopolitical risk affects corporate payout policy. We also show that the effects of geopolitical risk on share repurchase are more pronounced for firms with greater exposure to product market competition and those facing higher threats of financial distress. Overall, our study emphasizes the implications of geopolitical risk for corporate payout choice.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W4322761270","article"
"Lean against the wind: The effect of policy uncertainty on a firm's corporate social responsibility strategy","Daoju Peng; Gönül Çolak; Jianfu Shen","2023","Journal of Corporate Finance","70","True","https://doi.org/10.1016/j.jcorpfin.2023.102376","https://doi.org/10.1016/j.jcorpfin.2023.102376","We examine the effect of policy uncertainty on firms' strategy of corporate social responsibility (CSR). During uncertain times, firms strategically increase their commitment to CSR causes. Policy uncertainty is positively associated with CSR performance regardless of the estimation method. CSR strategy can substitute for lobbying when firms attempt to manage policy uncertainty. Improved CSR performance can reduce firms' exposure to policy uncertainty which indicates that CSR commitment can deliver insurance-like benefits. The findings highlight the value of CSR commitments during uncertain times.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W4319792439","article"
"Uncertainty before and during COVID‐19: A survey","Efrem Castelnuovo","2022","Journal of Economic Surveys","68","True","https://www.ncbi.nlm.nih.gov/pmc/articles/9350004","https://doi.org/10.1111/joes.12515","This survey features three parts. The first one reviews the most recent literature on the relationship between domestic (i.e., country-specific) uncertainty and the business cycle, and offers ten main takeaways. The second part surveys contributions to the fast-growing strand of the literature that focuses on the macroeconomic effects of uncertainty spillovers and global uncertainty. The last part presents contributions on the role played by uncertainty during the COVID-19 pandemic.","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W4282984124","article"
"Exporting Uncertainty: The Impact of Brexit on Corporate America","Murillo Campello; Gustavo Cortés; Fabrício d’Almeida; Gaurav Kankanhalli","2022","Journal of Financial and Quantitative Analysis","66","True","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B48511C3F07B35E864D62A87190B0946/S0022109022000308a.pdf/div-class-title-exporting-uncertainty-the-impact-of-brexit-on-corporate-america-div.pdf","https://doi.org/10.1017/s0022109022000308","Abstract We show that the 2016 Brexit Referendum had multifaceted consequences for corporate America, shaping employment, investment, divestitures, R&amp;D, and savings. The unexpected vote outcome led U.S. firms to cut jobs and investment within U.S. borders. Using establishment-level data, we document that these effects were modulated by the reversibility of capital and labor. American-based job destruction was particularly pronounced in industries with less skilled and more unionized workers. U.K.-exposed firms with less redeployable capital and high input-offshoring dependence cut investment the most. Data on the near universe of U.S. establishments also point to measurable, negative effects on establishment turnover (openings and closings). Our results demonstrate how foreign-born political uncertainty is transmitted across international borders, shaping domestic capital formation and labor allocation.","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W4225809246","article"
"CEO’s Childhood Experience of Natural Disaster and CSR Activities","Daewoung Choi; Hyunju Shin; Kyoungmi Kim","2023","Journal of Business Ethics","66","True","https://link.springer.com/content/pdf/10.1007/s10551-022-05319-3.pdf","https://doi.org/10.1007/s10551-022-05319-3","","""presidential election"" ""corporate cash holdings"" DiD","https://openalex.org/W4313597007","article"
"The importance of place-based, internal resources for the population development in small rural communities","Jens Fyhn Lykke Sørensen","2018","Journal of Rural Studies","64","True","https://findresearcher.sdu.dk/ws/files/143507729/Revised_manuscript_til_PURE_inkl._proof_rettelser_.pdf","https://doi.org/10.1016/j.jrurstud.2018.01.011","","trump 2016 ""cash holdings"" DiD","https://openalex.org/W2793218076","article"
