"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","source","id","type"
"Firms as Liquidity Providers: Evidence from the 2007-2008 Financial Crisis","Emilia García-Appendini; Judit Montoriol-Garriga","2012","SSRN Electronic Journal","108","True","https://doi.org/10.2139/ssrn.2023583","https://doi.org/10.2139/ssrn.2023583","","cites: ACW2004_JF","https://openalex.org/W2089665896","article"
"Financial Flexibility and Capital Structure Decision","Soku Byoun","2011","SSRN Electronic Journal","108","True","https://doi.org/10.2139/ssrn.1108850","https://doi.org/10.2139/ssrn.1108850","","cites: ACW2004_JF","https://openalex.org/W2097229680","article"
"Family ownership, financing constraints and investment decisions","Christian Andrés","2011","Applied Financial Economics","107","False","","https://doi.org/10.1080/09603107.2011.589805","This article provides an empirical answer to the question of how the unique incentives of founding families influence investment decisions. Contrary to theoretical considerations, the results indicate that family firms are not more susceptible to external financing constraints. When compared to companies of similar size and dividend payout ratio, the investment outlays of family firms are consistently less sensitive to internal cash flows. Family businesses are more responsive to their investment opportunities and seem to invest irrespective of cash flow availability. The findings suggest that founding family ownership is associated with lower agency costs and can help to diminish information asymmetries with external suppliers of finance.","cites: ACW2004_JF","https://openalex.org/W1978148536","article"
"Are female top executives more risk-averse or more ethical? Evidence from corporate cash holdings policy","Trang Doan; Mai Iskandar‐Datta","2019","Journal of Empirical Finance","105","True","https://thekeep.eiu.edu/business_fac/114","https://doi.org/10.1016/j.jempfin.2019.11.005","","cites: ACW2004_JF","https://openalex.org/W2989793708","article"
"Foreign Cash: Taxes, Internal Capital Markets, and Agency Problems","Jarrad Harford; Cong Wang; Kuo Zhang","2016","Review of Financial Studies","105","True","https://repository.ceibs.cn/en/publications/27a4f203-fa42-435f-bc24-573fe4460dd2","https://doi.org/10.1093/rfs/hhw109","When the fraction of a firm’s cash held overseas is greater, its shareholders value that cash lower. This goes beyond a pure tax effect: the repatriation tax friction disrupts the firm’s internal capital market, distorting its investment policy. Firms underinvest domestically and overinvest abroad. Our findings are more pronounced when firms are subject to higher repatriation tax rates, higher costs of borrowing, and more agency problems. Overall, our evidence suggests that a combination of taxes, financing frictions, and agency problems leads to a valuation discount for foreign cash and documents real effects of how foreign earnings are taxed. Received January 19, 2015; editorial decision September 22, 2016 by Editor David Denis.","cites: ACW2004_JF","https://openalex.org/W3121353101","article"
"Research on the effect of enterprise financial flexibility on sustainable innovation","Zezhong Hao; Xiuwu Zhang; Jiangying Wei","2022","Journal of Innovation & Knowledge","105","True","https://doi.org/10.1016/j.jik.2022.100184","https://doi.org/10.1016/j.jik.2022.100184","The innovation and development of enterprises are influenced by both internal management and external economic policy uncertainty. This study examines methods for enterprises to ensure the development of sustainable innovation under economic policy uncertainty. Specifically, this study examines the effect of national economic policy uncertainty as a threshold variable on enterprise financial flexibility in a sustainable innovation model using the micro data of non-financial companies in China's A-share market from 2007 to 2019. Through an empirical analysis of the mechanism of the effect of enterprise financial flexibility on innovation, this paper discusses the possible ""adaptive effect"" of financial flexibility under policy uncertainty. Using a threshold effect model, this study examines the coefficient change of the negative effect of enterprise financing constraints on sustainable innovation caused by fluctuations in economic policy uncertainty and records the threshold value of the economic policy uncertainty index. The results show that a rise in policy uncertainty has a negative impact on enterprise innovation, and enterprises can actively adjust their flexible financial reserve to gain an adaptive effect under the influence of policy uncertainty. The results indicate a simultaneous threshold effect based on economic policy uncertainty in a model of enterprise financing constraints and sustainable innovation. Accordingly, the economic policy uncertainty index can be divided into a “reasonable area” and “warning area,” to indicate the need for enterprises to take countermeasures to deal with the fluctuations caused by government economic policies appropriately.","cites: ACW2004_JF","https://openalex.org/W4220953273","article"
"Cash Savings and Stock Price Informativeness","Laurent Frésard","2011","European Finance Review","105","True","https://academic.oup.com/rof/article-pdf/16/4/985/26303300/rfr004.pdf","https://doi.org/10.1093/rof/rfr004","Abstract This paper shows that managers use the information they learn from the stock market when they decide on corporate cash savings. In particular, corporate savings are much more sensitive to stock price when the price contains more information that is new to managers. Moreover, the significant effect of stock price informativeness on the savings-to-price sensitivity is not due to market mispricings and remains even after controlling for various sources of public and managerial private information. Overall, the results highlight a new channel through which the stock market affects corporate decisions, which suggests that the stock market is not a sideshow.","cites: ACW2004_JF","https://openalex.org/W2138651648","article"
"Institutional investor monitoring motivation and the marginal value of cash","Charles Ward; Chao Yin; Yeqin Zeng","2017","Journal of Corporate Finance","103","True","http://dro.dur.ac.uk/26318/","https://doi.org/10.1016/j.jcorpfin.2017.10.017","","cites: ACW2004_JF","https://openalex.org/W2766833665","article"
"Nonfinancial Firms as Cross‐Market Arbitrageurs","Yueran Ma","2019","The Journal of Finance","103","False","","https://doi.org/10.1111/jofi.12837","ABSTRACT I demonstrate that nonfinancial corporations act as cross‐market arbitrageurs in their own securities. Firms use one type of security to replace another in response to shifts in relative valuations, inducing negatively correlated financing flows in different markets. Net equity repurchases and net debt issuance both increase when expected excess returns on debt are particularly low, or when expected excess returns on equity are relatively high. Credit valuations affect equity financing as much as equity valuations do, and vice versa. Cross‐market corporate arbitrage is most prevalent among large, unconstrained firms, and helps account for aggregate financing patterns.","cites: ACW2004_JF","https://openalex.org/W3124721481","article"
"Green M&amp;A, legitimacy and risk‐taking: evidence from China’s heavy polluters","Bin Li; Lei Xu; Ron McIver; Qian Wu; Ailing Pan","2020","Accounting and Finance","102","False","","https://doi.org/10.1111/acfi.12597","Abstract Green merger and acquisition (M&amp;A) activities may improve heavy polluters’ regulatory and organisational legitimacy, allowing greater access to resources and enhancing risk‐taking capacity. Adopting a proprietary 2008–2013 dataset, we examine outcomes from green M&amp;A for China’s heavy‐polluting firms. We find that heavy polluters’ green M&amp;A is associated with greater risk‐taking. Greater access to resources, and reduced financing constraints and tax liabilities suggest improved legitimacy. These effects are positively related to state ownership and government intervention in the M&amp;A process. Our findings support the Porter hypothesis and have policy implications for green management of heavy polluters in emerging markets.","cites: ACW2004_JF","https://openalex.org/W3003410191","article"
