suite_id,iv,tail_dir,model_family,contemp_total,contemp_p10,contemp_p05,contemp_p01,lead_total,lead_p10,lead_p05,lead_p01,beta_min,beta_max,beta_abs_max,se_med,n_min,n_max,dir
H7b,UncPreMgr,positive,PanelOLS,6,1,1,0,6,1,1,1,-0.0010649892246018644,0.0018523407676826662,0.0018523407676826662,0.0012703438368854077,60182,63736,h7b_amihud_level
H7b.r,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,1,0,0,-0.001368688682549922,0.0007181215842278628,0.001368688682549922,0.0006050435246872722,56737,59870,h7b_amihud_level_robustness
H7b.r,UncAnsNoCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0005359706302858937,0.0003572074227345823,0.0005359706302858937,0.00041543077500118616,56737,59870,h7b_amihud_level_robustness
H7b.r,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0007103493978558912,0.00015346469808100592,0.0007103493978558912,0.0006111647637426537,56737,59870,h7b_amihud_level_robustness
H7b.r,UncPreNoCEO,positive,PanelOLS,6,1,0,0,6,1,1,1,-0.0007216489846708705,0.0009034313398075703,0.0009034313398075703,0.0005944041468146664,56737,59870,h7b_amihud_level_robustness
H7c,UncAnsCEO,positive,PanelOLS,6,6,6,0,6,0,0,0,0.0002016782798274789,0.0020250388681513796,0.0020250388681513796,0.0011185955001386362,60256,63806,h7c_amihud_bgt_level
H7c,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0012231312833014443,-7.325336836539207e-06,0.0012231312833014443,0.0010514915037509278,60256,63806,h7c_amihud_bgt_level
H7c,UncAnsMgr,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0035425692057924054,0.0014406159280916557,0.0035425692057924054,0.001430833708779183,60256,63806,h7c_amihud_bgt_level
H7c,UncPreMgr,positive,PanelOLS,6,0,0,0,6,1,1,0,-0.0004902467199940333,0.0024129503177601264,0.0024129503177601264,0.0013087120867493617,60256,63806,h7c_amihud_bgt_level
H7c.r,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.00034448459036740177,0.0005451911030866111,0.0005451911030866111,0.0006916620768164997,56802,59935,h7c_amihud_bgt_level_robustness
H7c.r,UncAnsNoCEO,positive,PanelOLS,6,0,0,0,6,3,1,0,-0.0008390114922919027,0.001024026030111903,0.001024026030111903,0.00047424093108260773,56802,59935,h7c_amihud_bgt_level_robustness
H7c.r,UncPreCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,-0.0010229809700442682,-0.00010598563229135893,0.0010229809700442682,0.0008529656580197028,56802,59935,h7c_amihud_bgt_level_robustness
H7c.r,UncPreNoCEO,positive,PanelOLS,6,0,0,0,6,3,1,1,-0.0004812287085701676,0.0013460521938229242,0.0013460521938229242,0.000542692512762016,56802,59935,h7c_amihud_bgt_level_robustness
H7d,UncAnsCEO,positive,PanelOLS,6,0,0,0,6,0,0,0,3.599555385811023e-05,0.0003262076001539692,0.0003262076001539692,0.000553532748688581,60036,63537,h7d_amihud_bgt_delta
H7d,UncPreCEO,positive,PanelOLS,6,0,0,0,6,4,3,2,-0.00034343556861800994,0.0009575958614495252,0.0009575958614495252,0.00045087693630760524,60036,63537,h7d_amihud_bgt_delta
